,Spearman_coef
SLC25A46,0.07251622
ZBTB41,0.072477376
SPRN,0.0724713
DSG2,0.072448977
TRDMT1,0.072442246
PCTP,0.072394701
CSNK1G1,0.072338499
ZNF629,0.072322397
ASPM,0.072319662
RBMXL1,0.072312993
NAB2,0.072302893
KRT7,0.072258194
UBTD1,0.072257781
NKTR,0.072233131
PGBD1,0.072217538
GGA3,0.072207631
GRAMD4,0.072171692
TMEM41B,0.072146204
RS1,0.072122011
ITGA5,0.072116838
ZNF248,0.072107186
NUP205,0.0720538
PCNXL4,0.072046788
LRRK1,0.072027904
SLC5A9,0.072019082
N4BP2L2,0.071999979
ASL,0.07198388
HNMT,0.071978573
CCDC181,0.071974323
QPCTL,0.071972505
FTSJ3,0.071958776
ITFG1,0.071920105
THBS1,0.071863792
ZFX,0.071853338
OBSL1,0.071841541
WDPCP,0.071738856
ANKRD12,0.071724962
C4orf46,0.071714756
SNX33,0.071700593
HMG20A,0.071611954
GNG12,0.071589653
DCAF16,0.071581019
GSN,0.0715747
E2F3,0.071573685
SMURF2,0.071523962
KLF4,0.071509805
IST1,0.071490584
AGO3,0.071468875
PDE6B,0.07138799
BAIAP2-AS1,0.071386278
TJAP1,0.071377428
ATP6V1D,0.071373971
BMPR1A,0.071362383
DCTN1,0.07132863
RTCA,0.071294935
ADAMTS1,0.071237966
RORB,0.071188476
ARHGAP35,0.071187296
FDPS,0.071180464
SPINT2,0.071175547
MPZ,0.071154119
CDK9,0.071153984
HPS3,0.071126434
FDXR,0.071113453
ZC3H8,0.071104641
STAT4,0.07109403
RRP12,0.071073288
FAAP100,0.071026373
LZTR1,0.071024872
NR2E3,0.07098152
THSD7A,0.070876833
MYO5C,0.070846662
YPEL2,0.070801821
MUS81,0.070760573
CEP76,0.070753432
SPI1,0.070727807
CYP46A1,0.070727607
C14orf169,0.070710451
ABCC4,0.070688647
THUMPD1,0.070667638
ZFR2,0.070601857
ADGRA2,0.070599424
NEB,0.070574722
POU2AF1,0.070563759
AP2A2,0.070539281
ELMSAN1,0.070534763
NOL4L,0.07046139
FAM83A,0.07039917
CNN1,0.070397755
HEY2,0.070381508
GATA4,0.070359243
MAP3K11,0.070292156
ZNF271P,0.070281064
CABLES2,0.070273248
ZC3H6,0.070241885
PLD2,0.070223212
PTTG1,0.070210207
VPS26B,0.070189644
AHSP,0.070173688
TENM1,0.070172803
APC2,0.07016527
RPGRIP1L,0.070155341
B4GALT6,0.070150127
STAU1,0.070116656
ABCD4,0.070055264
E2F4,0.070048039
MARK2,0.070002588
RAB3GAP2,0.069982859
DNAH11,0.069972715
PPP3CA,0.069948749
VAV1,0.069937881
NPM3,0.069921492
FBXO42,0.069918968
CTSW,0.069861893
ATF6B,0.06986034
CRY2,0.069814997
VTN,0.069814782
PARM1,0.06977927
DCLRE1A,0.069775766
HLA-DRB6,0.069769954
LRRCC1,0.069707348
MT3,0.069684943
PHF3,0.069655774
TSNAX,0.069654219
LIN7A,0.069623971
UNC93B1,0.069622402
MGAT5B,0.069594409
ZNF639,0.069545843
IKZF1,0.069497686
PDCD4,0.069486519
MAP2K7,0.069460591
LINC01184,0.069444003
CLK2,0.06935986
ELF4,0.069318659
BARD1,0.069317997
RILP,0.069296011
ACTL6B,0.069288451
STK40,0.069287861
TCTN2,0.069285317
BET1L,0.069261923
HOOK2,0.069241874
APPL2,0.06921113
CCZ1,0.069197798
FAAP20,0.069193047
GGH,0.069183412
MMP19,0.069145619
GRK1,0.069092967
AMZ2,0.069051059
KCTD2,0.069023442
LDLR,0.069014285
SF3B3,0.068921327
SIAE,0.06887146
TOM1,0.068852693
CSTF3,0.068839304
TBC1D5,0.068837459
ZSCAN16-AS1,0.06882604
TANK,0.068821178
PGAM5,0.068795321
ZNF710,0.068731928
TNKS,0.068643768
ALDOB,0.068611104
SUPT7L,0.068489016
NRP2,0.068482502
ZNF230,0.068441056
EGFLAM,0.068424211
SLC1A7,0.068424211
WDR19,0.068407266
OLFML1,0.068362391
SPRTN,0.068330304
CROT,0.068257139
ALPK2,0.068246284
EIF4B,0.068245078
ETS2,0.068229217
TSEN2,0.06822177
GPR137,0.068187619
SLBP,0.068162797
PAIP1,0.068136575
VHL,0.068101625
RHOT1,0.068093363
KIAA0368,0.068072008
SGSM2,0.068060229
LAMB1,0.068044617
ACTR3B,0.067985485
IMPG1,0.067942791
BCHE,0.067906306
ELSPBP1,0.067906306
HSPB2,0.067906306
ISLR,0.067906306
NES,0.067906306
NYAP1,0.067906306
EPC2,0.067896792
MAP10,0.067853018
PARVA,0.067822156
ARID4A,0.067799173
VPS33B,0.06777605
TRIM13,0.067750536
RALYL,0.06774605
CBL,0.06774464
TRIM36,0.06773627
SLC7A11,0.067735869
AEBP2,0.067708039
RARB,0.067683255
SLC5A3,0.067639023
CDK14,0.067619814
HADH,0.067587719
COLGALT1,0.067585058
DPP8,0.067575074
TRAK2,0.067574284
EPSTI1,0.067568217
PTPN14,0.067544476
MEIS3,0.067464985
ZBED6CL,0.067458337
LCP1,0.067443624
MECOM,0.067438173
ARHGAP26,0.067437744
TTC25,0.067434477
BCL3,0.067408574
ZFYVE16,0.067364806
ASB2,0.067303545
NXPH3,0.067257699
PROS1,0.067256189
AAGAB,0.067236321
GRHPR,0.067211985
HYAL2,0.067186506
ZNF429,0.067185197
TMEM204,0.067173135
FGB,0.067132468
FMN1,0.067114587
LYRM5,0.067096647
GTF2A2,0.067075328
SLC43A3,0.067059664
FUBP3,0.067053677
FAM46C,0.06704074
MED19,0.067015475
PEX14,0.067009249
MYO5A,0.066977373
CENPQ,0.066934604
JMJD4,0.06692654
MALAT1,0.066908677
IRS1,0.066869536
NVL,0.066839752
UBE4A,0.06680832
MINK1,0.066766369
MAN2B1,0.066737933
CLDN15,0.066732163
EGLN1,0.066582851
IL17RC,0.066548632
SPTLC1,0.066540122
KBTBD2,0.066496456
C20orf27,0.066485113
MRRF,0.066464994
ARHGEF19,0.066456358
VSX2,0.066439393
RNF121,0.066425721
NCDN,0.066365946
CCDC25,0.066343779
OGN,0.066338971
RNF150,0.066325911
TP53INP1,0.066317748
IL6,0.066308438
ALDH1A2,0.066280105
HELZ,0.066243833
FAAH,0.066239077
PPARD,0.066214531
ARHGAP39,0.066187008
MTMR4,0.066175665
PROSER3,0.066172462
BROX,0.066130843
CLCC1,0.066124113
HS6ST3,0.066077962
AASS,0.066039541
SLC24A2,0.066031349
CDO1,0.065994763
SERPINH1,0.065904498
USP21,0.065816107
STAG2,0.065779775
MUM1,0.065778511
ARL5B,0.065773269
ESPN,0.065766327
CDK2,0.065710004
SLC47A1,0.065562547
ATP10D,0.065535507
LIG3,0.065525853
UBR5,0.065503667
C19orf48,0.065491882
PLOD1,0.065485482
TNPO2,0.065428929
POLA2,0.065427925
GRK5,0.065416987
ZDHHC11,0.065407063
MFAP3,0.065389824
RLTPR,0.065362855
ARFGEF2,0.065325693
PICALM,0.065276036
TMEM170A,0.065258938
BVES,0.065161511
MIR600HG,0.065143747
TMPO,0.065133029
CAV1,0.065100234
HAVCR2,0.065092386
CHST14,0.065041046
OSBP,0.065031368
SATB2,0.065023295
ARFGAP2,0.06501679
ARPC1B,0.064993097
EIF4EBP1,0.064976857
FRMD8,0.064912597
WWP1,0.06489068
MFSD9,0.064862336
ERBB4,0.064769118
SOGA3,0.064648548
RHO,0.064648343
SMARCA2,0.064625846
AFF4,0.064579649
VWA5A,0.064560714
VEZF1,0.064560301
PRSS12,0.064556847
HMHA1,0.064521808
HDAC3,0.064512333
IL32,0.064499832
GRB10,0.064466274
FANK1,0.064448809
ARF5,0.064425449
CRHR1-IT1,0.064423484
CEP128,0.064414599
CLTC,0.064385198
SOGA1,0.064352926
DNAAF5,0.064329318
KLHL20,0.064316463
ZDHHC8,0.064283748
TTL,0.064254434
FAM167A,0.064241472
TRIM59,0.064198366
C11orf96,0.064184758
MAP3K2,0.064165116
PIGV,0.064106886
ZGPAT,0.06409991
PTEN,0.064092913
RGL2,0.064077522
PLAUR,0.064046525
CLPS,0.064028288
SLAMF7,0.064023045
C11orf71,0.063989204
NFATC2,0.063964973
TAOK2,0.063948816
DNPH1,0.063926393
USP27X,0.063925995
TEX9,0.063913373
CCDC167,0.063868315
OSGEPL1,0.063823646
TWF1,0.063760665
ABCD2,0.063736517
TMCC2,0.063698075
PGS1,0.063652344
RGS3,0.06364507
CFAP53,0.063594
KRI1,0.063585892
PRELID2,0.063562046
CCR7,0.063554257
C1orf61,0.06353054
PAXBP1-AS1,0.063495127
FAM174A,0.06349014
RPS5,0.063469295
HEATR6,0.063439696
KIAA0753,0.063438796
UEVLD,0.0634386
MED15,0.063400074
GLB1,0.063380314
RECQL,0.063378049
SPTBN4,0.063364369
CELF3,0.063310955
DDX6,0.063289027
C9orf64,0.06328512
ILDR2,0.063277244
IGF2BP3,0.063262007
PPP1R3E,0.063168825
LGI4,0.063124597
GAREML,0.063116499
LNP1,0.063090441
RAB3D,0.063054594
RABAC1,0.062999284
HLF,0.06297553
NAA15,0.062968603
PHKA1,0.062959203
MAN1C1,0.062933793
DNMT1,0.062913143
NF1,0.062897008
KRT19,0.062884287
ATP1A3,0.062860545
SVOP,0.062846305
PCNX,0.062795716
TOX4,0.062776481
MLXIPL,0.062767646
DOCK9,0.062737048
RASEF,0.062717548
ZNF460,0.062684982
SMYD4,0.062679947
PRDM2,0.062678366
MRPL28,0.062638045
CAPN13,0.06262393
HEMK1,0.062583161
PWARSN,0.062556213
GABRG3,0.062522281
C1QTNF3,0.062522107
MTHFD1,0.062522045
YTHDF1,0.062508989
TCF20,0.06247478
GCC2,0.062436582
ZBTB22,0.062430724
SUSD2,0.062401643
IRAK2,0.062344466
FEZ1,0.062331654
TRRAP,0.062323935
TMEM154,0.062315032
GALM,0.062272354
CLIC4,0.062271173
AP4M1,0.062249457
MDH1B,0.062246896
LZTS2,0.062244084
PFKFB4,0.06223244
PCF11,0.062215356
IL2RA,0.062207627
EHD1,0.062205821
C21orf33,0.062182876
ADRBK1,0.062113265
LAMP5,0.062065658
GTF3C5,0.062058268
MAN2B2,0.062053994
RFTN2,0.06203804
POLR3G,0.061998896
NUDT11,0.06199703
SLC35A3,0.061973257
DIRAS1,0.061964615
BBS12,0.061936645
NAV1,0.061903572
IDH1,0.061893946
ZNF316,0.061892767
ZNF398,0.061890947
SLC25A10,0.061881334
HIRA,0.061870418
GNB2,0.061868717
LRRN3,0.061868405
TRIP10,0.061848915
PNCK,0.06184443
ORAI2,0.061792618
THBS4,0.061786185
ACOX1,0.061763863
SCMH1,0.061755513
NFE2L1,0.061736626
CCSER2,0.061702222
LOC101927416,0.061680207
AMN1,0.06166434
IFT22,0.061660487
ZNF865,0.061656069
TXNRD1,0.061601147
SLC25A14,0.061584635
EPS8L1,0.061559304
C1orf198,0.061473806
GON4L,0.061452485
ZNF431,0.061451237
RAB15,0.06144313
SCN1B,0.061441848
MAU2,0.061422259
FOXK2,0.061410137
TGOLN2,0.061406692
FUT9,0.061385826
ARNT,0.06137315
KIAA1958,0.061343465
TNRC6B,0.061321435
TSC22D1,0.061316606
CNTNAP4,0.061292036
COL3A1,0.061292036
HSPB6,0.061292036
NNT-AS1,0.061268632
KIF13B,0.061255285
AGPAT1,0.061245024
G0S2,0.061241869
USP7,0.061191025
VPS13C,0.061184995
ZNF608,0.061144633
RANBP3L,0.061113971
ZNF217,0.061104415
LINC00881,0.061051131
TRPS1,0.061048612
ACOT2,0.061022516
XPO1,0.061016456
E2F1,0.060983519
DRAIC,0.060961343
FAM13C,0.060961343
PPP1R1C,0.060961343
VSTM2A,0.060961343
LEMD2,0.060959177
MFAP2,0.060926292
TRNAU1AP,0.060893685
TANGO6,0.0608607
SLFN11,0.060836582
TRPC4AP,0.060833645
UQCC1,0.060785089
SPATA18,0.06075999
KIF13A,0.060759429
FANCC,0.06072395
MANEAL,0.060622535
MYO19,0.060614028
PLEKHB2,0.060596481
CNTROB,0.060508933
ECHDC3,0.060404649
PVR,0.060387109
STIL,0.060366104
LRP8,0.060334617
VPS13D,0.060282044
MYO3B,0.060277355
SOS1,0.060249567
WIPI1,0.06023537
GLYR1,0.0602279
ARL6IP4,0.060212587
FAM166B,0.060197536
DGKD,0.060180594
USP49,0.060160367
ZNF428,0.060155794
CCPG1,0.060151229
UNC13C,0.060145488
ETV3,0.060135938
HSPA4,0.060123211
MID1IP1,0.060119483
MRPS31,0.060091069
EIF2B2,0.060078237
KIAA1429,0.060059309
PRIM1,0.059991663
GATS,0.05998151
KIF2C,0.059978874
WBSCR16,0.059963813
KBTBD3,0.059863434
USP47,0.059851644
MTMR9LP,0.059825414
LRRC48,0.059818412
ZNF227,0.059743012
SEC23IP,0.059691285
GUCA1B,0.059646654
FBXO34,0.059596354
NAPRT,0.05958031
TAF15,0.05957696
TAB3,0.059571524
TNFRSF21,0.059567152
PHKB,0.059549308
FAM229B,0.059545959
EPRS,0.059537449
ZMYND8,0.059528552
ARL6IP5,0.059527674
GOLGA5,0.059516332
LRRC61,0.059495065
UNC5B,0.059470124
GBE1,0.059357232
FAP,0.05934598
MTMR10,0.059335885
IL2RB,0.059317256
CMAHP,0.05926484
TSPAN3,0.059239278
AMER2,0.059231036
FOLR2,0.059191195
ZNF337,0.059184963
JADE3,0.059171759
C6,0.059155542
RABL6,0.059148344
SON,0.059106156
PPP2R1A,0.059105292
ZDHHC8P1,0.059102222
C1orf122,0.059091406
ST6GAL1,0.059078645
WHAMMP3,0.059025524
ZNF24,0.059021917
ADAMTS7,0.05900366
YAE1D1,0.05898775
IDH3B,0.058978753
SNTB2,0.058959858
THBD,0.058948903
C11orf57,0.058936354
TMED5,0.058908238
PIN4,0.058879539
TMEM33,0.058864931
CUL2,0.05885802
CIZ1,0.058855198
SSPN,0.058807773
ASB8,0.05875623
ELF2,0.058755949
FAM92B,0.058732357
KLHDC7A,0.058732357
ERAP2,0.058712019
SLC7A8,0.058707907
LINC00461,0.058677601
POU5F1,0.058653816
FAM161A,0.058648998
TRIM23,0.058644387
HDGF,0.058638533
ANKFY1,0.058602218
MAN2A1,0.058589099
ACOX3,0.058587978
RP2,0.058536352
KIAA1161,0.058490542
HACD1,0.05848663
CPEB2,0.058478296
TSHZ1,0.058467992
CHD3,0.058448231
IL10RB,0.058422127
C6orf120,0.058410178
PRICKLE1,0.058389845
TMEM8B,0.058365548
FAM57A,0.058330827
FITM1,0.058315118
DTWD2,0.058312229
GCLC,0.058311742
PURB,0.05829697
LCN2,0.058292375
ZNF346,0.058231323
SPPL2A,0.058229332
HBA1,0.058228672
DNAJC16,0.058209336
STK32C,0.058207
C11orf24,0.058171792
AAR2,0.058132226
ITGAX,0.058131912
GPATCH1,0.058122913
SRP54,0.058058487
PLAU,0.058025206
KCTD1,0.058019349
ADAM1A,0.058004623
FOXN2,0.057981921
STOM,0.057979738
RGS19,0.057946581
CIB1,0.057866178
RPS26,0.057818668
CDAN1,0.057809759
ZNF654,0.057750048
THAP5,0.057745214
SCFD1,0.057732498
BMP7,0.057689379
RANBP3,0.057682137
UBN2,0.057672798
ZMYM4,0.057658884
THOP1,0.057611557
OTULIN,0.0576021
DLC1,0.057582777
ANP32E,0.057548254
ZNF160,0.057533212
CDC73,0.057526727
MKLN1,0.057525899
RBM43,0.057504167
TMBIM1,0.05749896
GALNT5,0.057464296
ZNF212,0.057419599
DENND4C,0.057417041
KNSTRN,0.057390861
ACBD5,0.057331021
FBXL16,0.057244688
SORT1,0.057244321
FTSJ1,0.057198863
MAP1S,0.057187106
MITD1,0.057187021
KIAA1549L,0.057149382
EFCAB14,0.057145759
KLHL8,0.057082001
C1orf21,0.05708013
EIF4E,0.057077558
CWF19L2,0.056966302
DZANK1,0.056964303
KIF19,0.056946602
KLHDC8B,0.056897317
ZNF143,0.056869295
KCNJ10,0.056855029
FIGNL1,0.056854169
CREB1,0.056850984
GSS,0.056829815
EEF1G,0.056802488
SEC23A,0.056770051
FAM118A,0.056765581
IRF2,0.056755161
ABCF1,0.056752471
CLUH,0.056686275
DENND4A,0.056667128
RMI2,0.056656273
FBXO11,0.056590844
AKAP8,0.056556167
DDX25,0.056553509
NCOA1,0.056537995
SP4,0.056468896
ANO8,0.056462967
COASY,0.056449123
ABHD4,0.056442608
MAP3K7CL,0.056361211
MTMR3,0.056352243
NOMO1,0.056348588
MADD,0.056331462
RAB20,0.056322918
SAAL1,0.056313174
CPT2,0.056298304
VPS25,0.056269241
LTF,0.056255048
ANGEL1,0.056213296
PRUNE,0.056212497
ABCA3,0.056211001
KSR1,0.056210363
EBPL,0.056209054
JAG2,0.056198917
TMLHE,0.056147126
TIMP1,0.056094813
ROGDI,0.056072931
PLEKHO1,0.056063563
YAP1,0.056020516
STC1,0.056019509
ALDH6A1,0.056013438
ZNF419,0.055997548
MAGED1,0.05599752
AKAP6,0.055959723
APIP,0.055956144
UBA3,0.055938807
NUP188,0.055930295
PLIN2,0.055908278
IRF2BPL,0.05588774
TRPM4,0.055880942
EIF2AK4,0.055874297
C10orf10,0.055859551
LSM14A,0.055858818
RPN2,0.055853435
TMED9,0.055848925
HECTD4,0.055848524
NEIL2,0.055847508
SLC33A1,0.055836155
FBLN5,0.055817375
C22orf39,0.055773621
RAPGEFL1,0.055752138
TMEM251,0.055740356
MEGF8,0.055740174
TRIM2,0.055727904
CBFA2T3,0.055716558
PEX11A,0.055716262
BRD8,0.05567859
EXOSC6,0.055663819
IFFO1,0.055596295
CDKN1A,0.055561513
REV3L,0.055560096
CTSC,0.055486938
MYO9B,0.055470493
ANKRD36,0.055463242
SASH3,0.055444629
CBY1,0.055422576
DOCK8,0.055412461
AMMECR1L,0.055411721
DTX2,0.055398536
TMEM64,0.055372301
INHBB,0.055306515
SRCAP,0.055303785
ZNF830,0.055292155
TEKT1,0.055285667
IKBKAP,0.055281059
APOL6,0.055277714
WBP2,0.055228122
PLXNA2,0.055193465
TK1,0.055112074
TMEM68,0.055103978
PPP1R15B,0.055055284
C5AR1,0.05501894
SETD1A,0.055009653
NEK7,0.05498719
TNFAIP8,0.054972189
PCIF1,0.054928956
ZNF518A,0.054894016
SNX30,0.054879762
KCNAB1,0.054858792
EML4,0.0548306
API5,0.054829894
DPH6,0.054829727
PAN3,0.054821293
DIP2B,0.054813874
DOCK3,0.054808533
DBT,0.054799815
RAB36,0.05477628
TMEM206,0.054764801
HIRIP3,0.054724311
SLC22A5,0.054716954
FAM179B,0.054687854
ISG20L2,0.054671401
KIAA1024,0.054633512
C7orf50,0.05462237
PCGF5,0.054616989
ZNF883,0.054615189
DDX51,0.054601249
FBXL6,0.054564904
SCAI,0.054564281
MIER1,0.054480425
SMAD7,0.054475571
ZEB2,0.054472393
EEF2,0.054422603
RLIM,0.054348803
E4F1,0.054317731
PCYT2,0.054315022
BIRC3,0.0543084
C16orf70,0.054242549
P4HA1,0.054239237
MEGF10,0.054238839
GNPAT,0.054235225
STS,0.054182326
TMEM151B,0.054162875
SMG8,0.05415136
RASGRP3,0.054121235
DDX50,0.054120765
UBL3,0.054111391
SEC16A,0.054099464
SHFM1,0.054092981
KCNIP4,0.054053276
CFH,0.054052682
EMC4,0.054041997
RBMS1,0.054024879
RPL3,0.054019437
FAM13B,0.053997744
ANTXR2,0.05396863
MOGS,0.053963211
FBXO2,0.053959742
GDE1,0.053939897
CSE1L,0.053904995
FAM21A,0.053851199
BMPER,0.053843054
CDK18,0.053825332
SCN4B,0.053800289
DGCR5,0.053795611
ST3GAL4,0.053788853
C8A,0.053777766
THAP2,0.053744954
KPTN,0.053743213
SIN3A,0.053662606
PYCRL,0.05363996
ADAM8,0.0535813
ZNF208,0.053555499
5-Mar,0.053548631
NRDE2,0.053547572
TCF7L1,0.053514504
FBXL17,0.053511979
ALG10B,0.053505991
TXN2,0.053482052
S1PR1,0.053417203
IRX3,0.053415755
AGAP11,0.053408628
PSKH1,0.053392834
SLC43A1,0.053383609
SUPT6H,0.05334673
PTPRZ1,0.053328752
CDS1,0.053286383
CCNY,0.05325084
KIAA1279,0.053218619
VPS41,0.053208808
ADAM9,0.053198748
PLCB1,0.053194826
PIDD1,0.053165306
FAM210B,0.05315362
INPP5E,0.053127209
SRP9,0.053124605
ACE2,0.053083282
PEX3,0.053056371
CRMP1,0.05304443
S100A9,0.053009021
NARF,0.053007688
HSPG2,0.053001312
CSDC2,0.052983743
ZNF624,0.052976694
MIPEP,0.052963104
PSMD5-AS1,0.052893135
CUL9,0.052857798
CTPS2,0.052804069
CCDC58,0.052801854
EMC10,0.052775947
CHRNA3,0.052754546
DNPEP,0.052732185
COPB2,0.052714181
ARHGAP18,0.052711736
QSOX1,0.052711553
PPCDC,0.052707241
MYLK3,0.052649111
SNIP1,0.052644556
CD22,0.052642934
KIAA1841,0.052642546
TMEM9B,0.052625591
ZNF468,0.052616728
ATP2A2,0.052578346
ZNF35,0.052557908
RPRD2,0.052520261
TGFBI,0.052503197
LUZP1,0.052492165
KCNQ1OT1,0.052469798
APH1A,0.052467384
AP3M1,0.052465913
ZFP1,0.052460267
MTRR,0.052452763
MXRA8,0.052452159
GABRB2,0.052450404
PHIP,0.052421083
SNX8,0.05239827
CDCP1,0.052348582
FKBP9,0.052348009
PRDM10,0.052336999
PLOD3,0.052329864
CLPX,0.052329059
RERE,0.05231594
ARL2BP,0.05230466
ELOVL4,0.052302762
CORIN,0.052296678
FAM120B,0.052284218
ZNHIT6,0.052272514
BSG,0.052238828
GOLGA8A,0.052238391
RPRD1A,0.052213084
BAIAP2,0.052201713
FAS,0.052180566
NUP85,0.052141922
C2orf44,0.052130949
DNAJC30,0.052118396
BAG4,0.052086753
CDC16,0.052066881
TCEB3,0.052066288
SLC12A4,0.052046158
CSNK1A1,0.052008044
SLC52A2,0.052000637
CORO1A,0.051991073
EFCAB1,0.051988781
IGFBP5,0.051988781
SALL1,0.051988781
CYP8B1,0.051985173
GFAP,0.051985173
CIITA,0.051901626
CDCA5,0.051871655
LOC150776,0.051865682
KLHL21,0.051860481
SNX19,0.051846867
SIPA1L1,0.051840551
GNE,0.051802255
UGGT2,0.051786602
DDHD2,0.051744389
ECHDC1,0.051669277
TRIM38,0.051655279
NCR3LG1,0.051561127
RBAK,0.051550151
PSMB3,0.051549079
WDR46,0.051490894
CD96,0.051485377
ETHE1,0.051484765
VIPAS39,0.051472677
TREM1,0.051461989
ATRN,0.0514617
NEK3,0.051455108
FAM200B,0.05144204
ZNF671,0.051440194
PUSL1,0.051431415
FMNL3,0.051426949
NFAM1,0.051423787
SNX14,0.051404167
KDM6B,0.051403196
AEBP1,0.05139245
PCP4L1,0.051368326
SLCO1A2,0.05136111
TRIM62,0.051349834
RALGPS2,0.051317769
RAB22A,0.051234938
CUL5,0.051172537
GRTP1,0.051164732
PIK3R4,0.051160992
INPPL1,0.051139685
TRAPPC8,0.051124995
PSMD5,0.051078267
MFSD4,0.051048927
MYO1B,0.051009002
TTC30A,0.050992755
RNF34,0.050986491
CD6,0.050962718
ZFP3,0.050954216
ABCB9,0.050952575
OAZ2,0.050917035
USP44,0.050916607
CRYZ,0.050906055
VSTM4,0.050884453
RUNDC3A,0.050861996
JUP,0.05085023
EPM2AIP1,0.050824087
ROBO1,0.050777543
VASH1,0.050776051
C16orf72,0.050721867
TJP3,0.050705569
ERMN,0.050694757
PABPC1,0.050693906
PPIL1,0.050681598
SOX17,0.050640729
LARP6,0.050609037
TIGAR,0.050579601
CEP135,0.050555781
PARG,0.050511572
C5orf30,0.050502658
CXXC5,0.050461785
BCL7A,0.050419588
TSPAN2,0.050414731
NLRP1,0.050406842
SPTSSA,0.05040537
TIMM8A,0.050371698
BLCAP,0.050361926
PCDH17,0.050339977
STX18,0.050326595
CACNB4,0.050299995
HDAC11,0.050280115
CDK12,0.05027402
ATM,0.050259642
ZNF587B,0.050226034
LGALSL,0.050192722
ARRDC4,0.050180391
TTC39B,0.050115841
HN1L,0.050108527
FEZ2,0.050087482
CCDC71,0.050069781
NNAT,0.050051228
DSN1,0.050012858
YBEY,0.050000509
ZNF793,0.049983511
GNA15,0.049980337
WAS,0.04996994
SIX4,0.049922496
CDR1,0.049920864
SLC25A18,0.0498993
NID2,0.04989384
STK33,0.04986907
ANKMY1,0.049862127
RBFOX1,0.049825403
KLHL22,0.049820537
NSMCE2,0.049810712
CD163,0.049808108
XPOT,0.049805954
FAHD2B,0.049783038
ZNF12,0.049757553
DNAJC3-AS1,0.049677434
ACOT8,0.049667898
TERF1,0.049655446
NR1D1,0.049641433
ALOX5,0.049622733
GPAT4,0.049615334
PRSS1,0.049613274
NDUFS1,0.049508549
NTN4,0.049503404
SCOC,0.049501995
VPS37A,0.049451172
SEC31B,0.049425929
ARID1A,0.04941075
AMBP,0.049386404
BHLHE41,0.049386404
CADPS2,0.049386404
CRNN,0.049386404
LRRC10B,0.049386404
LRTM2,0.049386404
MYH14,0.049386404
RGS4,0.049386404
SFRP1,0.049386404
SLC6A14,0.049386404
SLITRK5,0.049386404
TNMD,0.049386404
C9orf24,0.049365121
ANKH,0.049350861
CBLL1,0.04934966
POP7,0.049326602
POLR3A,0.049318159
SENP5,0.049311539
PTER,0.049302397
PPP3R1,0.049285326
SUSD6,0.049271606
ZNF580,0.049232307
PROSC,0.049218767
SPEF1,0.049200143
SSPO,0.049139086
LONRF1,0.049107726
NRD1,0.049107135
ZNF438,0.049099701
LIG4,0.049030922
SDC3,0.049020267
PSD3,0.049013845
CENPC,0.048994948
VTCN1,0.048994201
ZDHHC20,0.04890924
TMEM246,0.048871077
GPR153,0.048836086
CD274,0.048828849
MGAT4B,0.048820548
E2F6,0.048801023
SREBF2,0.048795234
TGFBR1,0.048760708
BAP1,0.048749239
GBF1,0.048741447
DEK,0.048707397
MRPL38,0.048700709
NACAD,0.048700582
ARFGAP1,0.048700561
ZC3H14,0.048695609
ARID4B,0.048688713
RABL2A,0.048678256
FAR1,0.048677799
RIMS2,0.048670936
GTF2H4,0.048641416
AHCYL2,0.048618112
ITGA1,0.048614491
TRAF3,0.048589911
CCDC71L,0.04857924
POLR2I,0.048576426
OPN3,0.048572748
ECT2L,0.048541025
MAPKAPK2,0.048526156
NUP62,0.048501757
MAGED2,0.048493817
OGFOD1,0.048486403
NEK6,0.048467768
KIAA1462,0.048425488
SCAMP1-AS1,0.048422475
NALCN,0.04841995
ATP6V1A,0.048344261
SNRNP200,0.048334997
MFAP1,0.048267353
UBOX5,0.048265485
TOR1A,0.048212698
ZSWIM6,0.048190262
PCDH12,0.04814993
MCCC2,0.048122164
RFX7,0.048045012
PDK4,0.048037359
LRPAP1,0.048027085
MFSD11,0.048019635
NTPCR,0.048011946
LONP1,0.047982373
TMEM63B,0.047974738
ZNF596,0.047963219
CEP95,0.047952948
DKFZP586I1420,0.047877918
SGMS1,0.047867145
SORL1,0.047841737
PIM3,0.04784168
SPIRE1,0.047828995
FBXO30,0.047825671
ZKSCAN8,0.047776784
CEP68,0.047768143
DTYMK,0.04775163
HSD11B1L,0.047732931
PBXIP1,0.047718822
CPNE1,0.047707681
PDXK,0.047660525
LMF1,0.047634253
ITGB2,0.047630652
DICER1,0.047596356
MAGEE1,0.04752498
BOD1L1,0.047500451
CBX6,0.047492875
ZNHIT1,0.047449961
HRASLS5,0.047433866
SEC63,0.047427911
LETM1,0.047417362
PDLIM4,0.04734546
FUBP1,0.04732174
SLC12A9,0.047310909
GPR162,0.047293083
PDZD4,0.047270019
RN7SL1,0.04726987
PIAS2,0.047264442
MSR1,0.047260478
NR2C1,0.047258322
HIAT1,0.047237801
TRIM45,0.047220846
MBTD1,0.047212591
NEAT1,0.047201171
ACO2,0.047199803
UTP11L,0.047196267
ANP32A,0.04710452
UNC80,0.047092716
MCU,0.047088907
LRRC34,0.047061277
BRD3,0.047060265
GALNT9,0.047051354
PNPO,0.0470189
ACSF2,0.047009924
LIMS1,0.047000886
